date,n1,n2,n3,n4,n5,n6,special_number
2025152,09,34,17,29,35,12,10
2025151,29,49,26,25,35,39,38
2025150,24,43,18,31,45,12,40
2025149,44,43,25,03,29,19,41
2025148,48,26,05,31,44,09,2
2025147,47,14,38,26,19,35,32
2025146,24,41,25,03,11,47,14
2025145,30,25,29,28,10,49,17
2025144,36,31,19,01,34,29,25
2025143,27,19,17,02,24,15,10
2025142,17,30,08,29,23,33,44
2025141,30,22,31,34,39,03,13
2025140,22,45,02,41,39,31,11
2025139,38,27,47,30,45,09,14
2025138,20,27,39,47,29,03,41
2025137,39,35,46,25,48,45,36
2025136,31,23,25,33,02,21,9
2025135,32,44,25,03,34,33,37
2025134,38,27,04,23,06,34,14
2025133,45,03,16,01,21,38,10
2025132,24,46,26,42,15,35,2
2025131,13,44,04,20,36,30,47
2025130,20,30,10,33,28,08,23
2025129,34,45,20,42,19,25,40
2025128,04,43,18,45,38,26,13
2025127,45,35,08,20,04,22,49
2025126,05,13,10,28,03,31,2
2025125,18,25,19,28,01,08,49
2025124,18,41,09,14,07,39,10
2025123,37,30,49,16,09,12,45
2025122,07,46,03,02,47,22,33
2025121,25,07,31,34,23,39,24
2025120,18,25,05,35,31,43,28
2025119,21,37,10,45,19,30,38
2025118,19,15,06,39,46,35,36
2025117,33,46,40,06,22,45,47
2025116,19,43,35,40,10,48,23
2025115,14,07,09,22,10,04,3
2025114,06,41,05,46,15,09,38
2025113,02,26,43,38,03,09,46
2025112,15,43,38,24,18,04,45
2025111,02,17,13,41,28,36,45
2025110,15,20,14,46,31,30,47
2025109,47,16,08,41,06,19,3
2025108,40,20,39,49,08,01,27
2025107,08,09,15,24,18,42,46
2025106,45,20,11,23,34,42,18
2025105,12,28,48,37,18,43,26
2025104,09,20,33,11,32,21,6
2025103,16,28,03,30,42,49,32
2025102,24,40,07,30,47,09,38
2025101,20,49,36,37,42,30,1
2025100,25,03,34,08,31,41,42
2025099,01,34,43,38,06,22,20
2025098,30,39,31,08,21,20,3
2025097,01,32,24,23,04,02,31
2025096,42,46,25,05,40,22,34
2025095,04,43,37,40,24,16,20
2025094,35,43,31,37,15,39,33
2025093,16,23,28,21,27,46,10
2025092,23,24,36,03,04,32,39
2025091,35,23,32,31,08,24,40
2025090,17,07,23,38,12,18,35
2025089,45,19,13,25,15,27,14
2025088,14,11,39,10,45,33,15
2025087,30,16,14,28,29,03,15
2025086,19,29,31,02,42,26,30
2025085,32,31,18,14,08,19,35
2025084,17,45,24,23,38,40,20
2025083,45,04,06,47,46,11,28
2025082,10,35,04,45,24,09,34
2025081,48,08,40,09,18,27,38
2025080,27,38,29,02,44,31,24
2025079,04,20,09,32,29,44,10
2025078,15,38,18,03,08,11,28
2025077,05,23,27,17,11,39,22
2025076,28,02,14,10,16,23,39
2025075,30,05,10,37,32,07,9
2025074,22,21,01,47,29,11,35
2025073,43,22,48,23,33,10,3
2025072,35,37,48,33,14,22,40
2025071,32,09,44,36,23,40,49
2025070,16,35,46,25,19,18,43
2025069,44,30,05,40,06,15,29
2025068,42,33,47,40,30,02,44
2025067,15,35,39,48,45,11,44
2025066,49,45,27,22,13,26,12
2025065,30,41,38,25,35,16,48
2025064,48,40,03,33,47,04,31
2025063,42,05,38,03,49,21,23
2025062,27,37,10,26,02,48,35
2025061,42,28,39,06,23,35,10
2025060,10,08,17,13,47,44,11
2025059,40,16,17,26,36,04,24
2025058,22,23,33,34,49,19,31
2025057,10,11,13,01,40,22,20
2025056,41,08,33,30,43,07,42
2025055,47,36,40,43,11,37,44
2025054,23,28,30,35,19,27,25
2025053,33,48,05,19,13,17,11
2025052,07,06,17,13,34,31,10
2025051,27,22,31,07,13,18,49
2025050,29,21,46,48,15,45,5
2025049,49,05,01,17,31,06,43
2025048,07,35,23,33,46,27,18
2025047,14,22,13,31,20,16,12
2025046,41,01,24,34,33,30,12
2025045,40,28,03,48,31,08,30
2025044,24,28,46,34,14,43,7
2025043,04,27,38,40,19,35,37
2025042,44,13,39,22,46,47,42
2025041,48,35,22,30,26,04,28
2025040,01,32,35,30,08,16,20
2025039,41,48,10,17,34,43,40
2025038,11,01,47,39,12,03,20
2025037,35,32,46,08,37,16,25
2025036,38,07,19,47,10,40,29
2025035,27,35,32,37,06,18,21
2025034,01,04,21,40,16,49,23
2025033,41,22,19,40,46,39,48
2025032,22,15,13,02,17,33,39
2025031,30,23,08,24,33,25,22
2025030,27,39,23,45,44,46,25
2025029,14,46,03,35,43,10,13
2025028,34,14,29,33,05,28,40
2025027,02,06,28,32,45,16,25
2025026,36,25,07,02,34,09,37
2025025,17,42,28,44,05,20,30
2025024,03,45,18,40,28,02,41
2025023,15,43,06,30,16,09,45
2025022,27,23,26,14,16,18,4
2025021,39,19,24,31,32,30,14
2025020,44,04,47,01,49,14,34
2025019,03,23,49,13,39,26,6
2025018,12,01,24,33,21,44,10
2025017,42,29,20,49,22,06,38
2025016,40,22,27,42,43,39,21
2025015,13,37,02,03,43,12,36
2025014,48,20,30,39,41,06,27
2025013,42,43,36,11,25,47,7
2025012,24,32,10,15,37,04,39
2025011,07,45,03,30,01,10,6
2025010,37,18,17,47,21,23,25
2025009,23,17,43,01,10,13,30
2025008,13,24,48,23,32,20,46
2025007,32,12,48,45,39,07,15
2025006,03,13,12,28,01,18,4
2025005,35,21,10,03,32,40,8
2025004,45,16,17,07,37,28,33
2025003,28,01,16,47,18,42,33
2025002,13,04,10,06,05,28,37
2025001,25,18,06,14,29,39,22
2025183,12,39,38,07,28,45,33
2025182,01,49,21,39,06,34,42
2025181,10,21,40,37,02,39,23
2025180,14,37,28,43,01,41,29
2025179,42,08,05,30,29,25,24
2025178,42,30,37,20,06,07,27
2025177,31,30,11,49,22,41,4
2025176,12,05,24,28,22,17,36
2025175,37,03,32,12,08,29,30
2025174,11,36,22,24,20,12,39
2025173,46,32,30,05,42,04,38
2025172,03,15,04,39,02,28,36
2025171,15,04,23,36,27,07,47
2025170,22,20,36,44,31,19,33
2025169,11,02,32,38,29,31,7
2025168,31,07,40,15,09,25,16
2025167,11,27,30,06,36,03,9
2025166,30,38,18,14,42,16,41
2025165,23,37,17,08,42,49,47
2025164,46,38,14,39,26,08,13
2025163,38,18,43,29,10,32,23
2025162,38,02,22,48,15,12,1
2025161,49,41,44,29,38,18,16
2025160,23,42,32,46,30,40,11
2025159,45,34,35,22,24,08,31
2025158,15,48,04,17,42,21,5
2025157,37,05,16,12,17,03,23
2025156,15,13,38,17,28,32,18
2025155,06,34,33,12,37,20,45
2025154,37,18,45,25,47,42,26
2025153,42,11,25,08,45,09,43
2025152,09,34,17,29,35,12,10
2025151,29,49,26,25,35,39,38
2025150,24,43,18,31,45,12,40
2025149,44,43,25,03,29,19,41
2025148,48,26,05,31,44,09,2
2025147,47,14,38,26,19,35,32
2025146,24,41,25,03,11,47,14
2025145,30,25,29,28,10,49,17
2025144,36,31,19,01,34,29,25
2025143,27,19,17,02,24,15,10
2025142,17,30,08,29,23,33,44
2025141,30,22,31,34,39,03,13
2025140,22,45,02,41,39,31,11
2025139,38,27,47,30,45,09,14
2025138,20,27,39,47,29,03,41
2025137,39,35,46,25,48,45,36
2025136,31,23,25,33,02,21,9
2025135,32,44,25,03,34,33,37
2025134,38,27,04,23,06,34,14
2025133,45,03,16,01,21,38,10
2025132,24,46,26,42,15,35,2
2025131,13,44,04,20,36,30,47
2025130,20,30,10,33,28,08,23
2025129,34,45,20,42,19,25,40
2025128,04,43,18,45,38,26,13
2025127,45,35,08,20,04,22,49
2025126,05,13,10,28,03,31,2
2025125,18,25,19,28,01,08,49
2025124,18,41,09,14,07,39,10
2025123,37,30,49,16,09,12,45
2025122,07,46,03,02,47,22,33
2025121,25,07,31,34,23,39,24
2025120,18,25,05,35,31,43,28
2025119,21,37,10,45,19,30,38
2025118,19,15,06,39,46,35,36
2025117,33,46,40,06,22,45,47
2025116,19,43,35,40,10,48,23
2025115,14,07,09,22,10,04,3
2025114,06,41,05,46,15,09,38
2025113,02,26,43,38,03,09,46
2025112,15,43,38,24,18,04,45
2025111,02,17,13,41,28,36,45
2025110,15,20,14,46,31,30,47
2025109,47,16,08,41,06,19,3
2025108,40,20,39,49,08,01,27
2025107,08,09,15,24,18,42,46
2025106,45,20,11,23,34,42,18
2025105,12,28,48,37,18,43,26
2025104,09,20,33,11,32,21,6
2025103,16,28,03,30,42,49,32
2025102,24,40,07,30,47,09,38
2025101,20,49,36,37,42,30,1
2025100,25,03,34,08,31,41,42
2025099,01,34,43,38,06,22,20
2025098,30,39,31,08,21,20,3
2025097,01,32,24,23,04,02,31
2025096,42,46,25,05,40,22,34
2025095,04,43,37,40,24,16,20
2025094,35,43,31,37,15,39,33
2025093,16,23,28,21,27,46,10
2025092,23,24,36,03,04,32,39
2025091,35,23,32,31,08,24,40
2025090,17,07,23,38,12,18,35
2025089,45,19,13,25,15,27,14
2025088,14,11,39,10,45,33,15
2025087,30,16,14,28,29,03,15
2025086,19,29,31,02,42,26,30
2025085,32,31,18,14,08,19,35
2025084,17,45,24,23,38,40,20
2025083,45,04,06,47,46,11,28
2025082,10,35,04,45,24,09,34
2025081,48,08,40,09,18,27,38
2025080,27,38,29,02,44,31,24
2025079,04,20,09,32,29,44,10
2025078,15,38,18,03,08,11,28
2025077,05,23,27,17,11,39,22
2025076,28,02,14,10,16,23,39
2025075,30,05,10,37,32,07,9
2025074,22,21,01,47,29,11,35
2025073,43,22,48,23,33,10,3
2025072,35,37,48,33,14,22,40
2025071,32,09,44,36,23,40,49
2025070,16,35,46,25,19,18,43
2025069,44,30,05,40,06,15,29
2025068,42,33,47,40,30,02,44
2025067,15,35,39,48,45,11,44
2025066,49,45,27,22,13,26,12
2025065,30,41,38,25,35,16,48
2025064,48,40,03,33,47,04,31
2025063,42,05,38,03,49,21,23
2025062,27,37,10,26,02,48,35
2025061,42,28,39,06,23,35,10
2025060,10,08,17,13,47,44,11
2025059,40,16,17,26,36,04,24
2025058,22,23,33,34,49,19,31
2025057,10,11,13,01,40,22,20
2025056,41,08,33,30,43,07,42
2025055,47,36,40,43,11,37,44
2025054,23,28,30,35,19,27,25
2025053,33,48,05,19,13,17,11
2025052,07,06,17,13,34,31,10
2025051,27,22,31,07,13,18,49
2025050,29,21,46,48,15,45,5
2025049,49,05,01,17,31,06,43
2025048,07,35,23,33,46,27,18
2025047,14,22,13,31,20,16,12
2025046,41,01,24,34,33,30,12
2025045,40,28,03,48,31,08,30
2025044,24,28,46,34,14,43,7
2025043,04,27,38,40,19,35,37
2025042,44,13,39,22,46,47,42
2025041,48,35,22,30,26,04,28
2025040,01,32,35,30,08,16,20
2025039,41,48,10,17,34,43,40
2025038,11,01,47,39,12,03,20
2025037,35,32,46,08,37,16,25
2025036,38,07,19,47,10,40,29
2025035,27,35,32,37,06,18,21
2025034,01,04,21,40,16,49,23
2025033,41,22,19,40,46,39,48
2025032,22,15,13,02,17,33,39
2025031,30,23,08,24,33,25,22
2025030,27,39,23,45,44,46,25
2025029,14,46,03,35,43,10,13
2025028,34,14,29,33,05,28,40
2025027,02,06,28,32,45,16,25
2025026,36,25,07,02,34,09,37
2025025,17,42,28,44,05,20,30
2025024,03,45,18,40,28,02,41
2025023,15,43,06,30,16,09,45
2025022,27,23,26,14,16,18,4
2025021,39,19,24,31,32,30,14
2025020,44,04,47,01,49,14,34
2025019,03,23,49,13,39,26,6
2025018,12,01,24,33,21,44,10
2025017,42,29,20,49,22,06,38
2025016,40,22,27,42,43,39,21
2025015,13,37,02,03,43,12,36
2025014,48,20,30,39,41,06,27
2025013,42,43,36,11,25,47,7
2025012,24,32,10,15,37,04,39
2025011,07,45,03,30,01,10,6
2025010,37,18,17,47,21,23,25
2025009,23,17,43,01,10,13,30
2025008,13,24,48,23,32,20,46
2025007,32,12,48,45,39,07,15
2025006,03,13,12,28,01,18,4
2025005,35,21,10,03,32,40,8
2025004,45,16,17,07,37,28,33
2025003,28,01,16,47,18,42,33
2025002,13,04,10,06,05,28,37
2025001,25,18,06,14,29,39,22
